2023-07-25 20:07:170 INFO  HomePage :61 - Mouse hover on Gear menu
2023-07-25 20:07:191 INFO  HomePage :67 - Mouse hover and click on product Bags
2023-07-25 20:07:81 INFO  GearPage :58 - Click on Overnight Duffle bag[[ChromeDriver: chrome on windows (737d8d0dd5624aefcb1f53aa80d0967a)] -> xpath: //a[normalize-space()='Overnight Duffle']]
2023-07-25 20:07:240 INFO  GearPage :64 - Getting text from : [[ChromeDriver: chrome on windows (737d8d0dd5624aefcb1f53aa80d0967a)] -> xpath: //span[@class='base']]
2023-07-25 20:07:355 INFO  GearPage :72 - Change Quantity3
2023-07-25 20:07:498 INFO  GearPage :78 - Click on Add to Cart[[ChromeDriver: chrome on windows (737d8d0dd5624aefcb1f53aa80d0967a)] -> xpath: //button[@id='product-addtocart-button']]
2023-07-25 20:07:341 INFO  GearPage :88 - Click on shopping cart[[ChromeDriver: chrome on windows (737d8d0dd5624aefcb1f53aa80d0967a)] -> xpath: //a[normalize-space()='shopping cart']]
2023-07-25 20:07:763 INFO  GearPage :109 - Change Qantity to5
2023-07-25 20:07:872 INFO  GearPage :115 - Click on Update Shopping Cart[[ChromeDriver: chrome on windows (737d8d0dd5624aefcb1f53aa80d0967a)] -> xpath: //span[normalize-space()='Update Shopping Cart']]
2023-07-25 20:07:480 INFO  HomePage :61 - Mouse hover on Gear menu
2023-07-25 20:07:521 INFO  HomePage :67 - Mouse hover and click on product Bags
2023-07-25 20:07:415 INFO  GearPage :58 - Click on Overnight Duffle bag[[ChromeDriver: chrome on windows (860c152c8526afc3c072fd397b2babfe)] -> xpath: //a[normalize-space()='Overnight Duffle']]
2023-07-25 20:07:580 INFO  GearPage :64 - Getting text from : [[ChromeDriver: chrome on windows (860c152c8526afc3c072fd397b2babfe)] -> xpath: //span[@class='base']]
2023-07-25 20:07:714 INFO  GearPage :72 - Change Quantity3
2023-07-25 20:07:880 INFO  GearPage :78 - Click on Add to Cart[[ChromeDriver: chrome on windows (860c152c8526afc3c072fd397b2babfe)] -> xpath: //button[@id='product-addtocart-button']]
2023-07-25 20:07:859 INFO  GearPage :88 - Click on shopping cart[[ChromeDriver: chrome on windows (860c152c8526afc3c072fd397b2babfe)] -> xpath: //a[normalize-space()='shopping cart']]
2023-07-25 20:07:264 INFO  GearPage :109 - Change Qantity to5
2023-07-25 20:07:389 INFO  GearPage :115 - Click on Update Shopping Cart[[ChromeDriver: chrome on windows (860c152c8526afc3c072fd397b2babfe)] -> xpath: //span[normalize-space()='Update Shopping Cart']]
2023-07-25 20:07:423 INFO  HomePage :61 - Mouse hover on Gear menu
2023-07-25 20:07:454 INFO  HomePage :67 - Mouse hover and click on product Bags
2023-07-25 20:07:399 INFO  GearPage :58 - Click on Overnight Duffle bag[[ChromeDriver: chrome on windows (c18f0296dc16d303e21bf2a9b86aa3da)] -> xpath: //a[normalize-space()='Overnight Duffle']]
2023-07-25 20:07:563 INFO  GearPage :64 - Getting text from : [[ChromeDriver: chrome on windows (c18f0296dc16d303e21bf2a9b86aa3da)] -> xpath: //span[@class='base']]
2023-07-25 20:07:715 INFO  GearPage :72 - Change Quantity3
2023-07-25 20:07:838 INFO  GearPage :78 - Click on Add to Cart[[ChromeDriver: chrome on windows (c18f0296dc16d303e21bf2a9b86aa3da)] -> xpath: //button[@id='product-addtocart-button']]
2023-07-25 20:07:414 INFO  GearPage :88 - Click on shopping cart[[ChromeDriver: chrome on windows (c18f0296dc16d303e21bf2a9b86aa3da)] -> xpath: //a[normalize-space()='shopping cart']]
2023-07-25 20:07:811 INFO  GearPage :109 - Change Qantity to5
2023-07-25 20:07:888 INFO  GearPage :115 - Click on Update Shopping Cart[[ChromeDriver: chrome on windows (c18f0296dc16d303e21bf2a9b86aa3da)] -> xpath: //span[normalize-space()='Update Shopping Cart']]
2023-07-25 21:07:832 INFO  HomePage :62 - Mouse hover on Gear menu
2023-07-25 21:07:261 INFO  HomePage :68 - Mouse hover and click on product Bags
2023-07-25 21:07:812 INFO  GearPage :58 - Click on Overnight Duffle bag[[ChromeDriver: chrome on windows (f972ff357b2669892a106bc16ed6673f)] -> xpath: //a[normalize-space()='Overnight Duffle']]
2023-07-25 21:07:95 INFO  GearPage :64 - Getting text from : [[ChromeDriver: chrome on windows (f972ff357b2669892a106bc16ed6673f)] -> xpath: //span[@class='base']]
2023-07-25 21:07:704 INFO  GearPage :72 - Change Quantity3
2023-07-25 21:07:848 INFO  GearPage :78 - Click on Add to Cart[[ChromeDriver: chrome on windows (f972ff357b2669892a106bc16ed6673f)] -> xpath: //button[@id='product-addtocart-button']]
2023-07-25 21:07:885 INFO  GearPage :88 - Click on shopping cart[[ChromeDriver: chrome on windows (f972ff357b2669892a106bc16ed6673f)] -> xpath: //a[normalize-space()='shopping cart']]
2023-07-25 21:07:808 INFO  GearPage :109 - Change Qantity to5
2023-07-25 21:07:956 INFO  GearPage :115 - Click on Update Shopping Cart[[ChromeDriver: chrome on windows (f972ff357b2669892a106bc16ed6673f)] -> xpath: //span[normalize-space()='Update Shopping Cart']]
2023-07-25 21:07:598 INFO  MenProductPage :24 - Mouse hover on Cronus product
2023-07-25 21:07:832 INFO  MenProductPage :32 - Click on pant size[[ChromeDriver: chrome on windows (cf5566817556fbf28a4ba079d1e07679)] -> xpath: (//div[@class='swatch-option text'])[1]]
2023-07-25 21:07:71 INFO  MenProductPage :43 - Click on Black colour[[ChromeDriver: chrome on windows (cf5566817556fbf28a4ba079d1e07679)] -> xpath: (//div[@class='swatch-option color'])[1]]
2023-07-25 21:07:328 INFO  MenProductPage :54 - Mouse hover and click Add Cart button
2023-07-25 21:07:866 INFO  MenShoppingCartPage :34 - Click on shopping cart link[[ChromeDriver: chrome on windows (cf5566817556fbf28a4ba079d1e07679)] -> xpath: //a[normalize-space()='shopping cart']]
2023-07-25 21:07:551 INFO  MenShoppingCartPage :54 - Getting text from : [[ChromeDriver: chrome on windows (cf5566817556fbf28a4ba079d1e07679)] -> xpath: //td[@class='col item']//a[normalize-space()='Cronus Yoga Pant']]
2023-07-25 21:07:795 INFO  MenShoppingCartPage :65 - Getting text from : [[ChromeDriver: chrome on windows (cf5566817556fbf28a4ba079d1e07679)] -> xpath: //dd[contains(text(),'32')]]
2023-07-25 21:07:402 INFO  MenProductPage :24 - Mouse hover on Cronus product
